"","BalusC","Marc Gravell","Jon Skeet","Hans Passant","Darin Dimitrov"
"aaaaacc",0.0,0.0,0.0,0.2606267225413052,0.0
"aaaabcc",0.0,0.0,0.0,0.0,0.0869676152761377
"aaabaac",0.0,0.0,0.0,0.0,0.0869676152761377
"aaabbac",0.0,0.0,0.0,0.0,0.0869676152761377
"aaabbcb",0.0,0.0,0.0,0.08687557418043507,0.0
"aaabbcc",0.0,0.04790263482976461,0.0,0.0,0.04951270206515967
"aaabccb",0.0,0.0,0.0,0.0,0.0869676152761377
"aaabccc",0.0,0.0,0.0,0.08687557418043507,0.0
"aaacabc",0.0,0.0,0.0,0.0,0.0869676152761377
"aaacacc",0.0,0.0,0.0,0.0,0.0869676152761377
"aaacbac",0.0,0.0841395791953704,0.0,0.0,0.0
"aaacbbc",0.0,0.0,0.0,0.08687557418043507,0.0
"aaaccaa",0.0,0.0,0.0,0.08687557418043507,0.0
"aaaccab",0.0,0.0,0.0,0.0,0.0869676152761377
"aaaccac",0.0,0.0841395791953704,0.0,0.0,0.0
"aaaccbb",0.0,0.0,0.0,0.17375114836087013,0.0
"aaaccbc",0.0,0.0,0.0997102360059741,0.0,0.0
"aabaacb",0.0,0.0,0.0,0.0,0.0869676152761377
"aababcb",0.0,0.0,0.0,0.08687557418043507,0.0
"aabaccb",0.0,0.0,0.0,0.0,0.1739352305522754
"aabaccc",0.0,0.0,0.0,0.0989206018235111,0.04951270206515967
"aabbacc",0.0,0.0,0.0,0.0,0.0869676152761377
"aabbcac",0.0,0.0841395791953704,0.0,0.0,0.0
"aabbcbb",0.0,0.0,0.0,0.0,0.0869676152761377
"aabbcca",0.0,0.0,0.0,0.08687557418043507,0.0
"aabbccc",0.0,0.0,0.0,0.0,0.1739352305522754
"aabcaac",0.0,0.0,0.0,0.08687557418043507,0.0
"aabcacb",0.0,0.0,0.0,0.0,0.0869676152761377
"aabcacc",0.0,0.0,0.0,0.0,0.0869676152761377
"aabcbbc",0.0,0.0841395791953704,0.0,0.0,0.0
"aabcbcc",0.0,0.0,0.0,0.0,0.0869676152761377
"aabccaa",0.0,0.0,0.0997102360059741,0.0,0.0
"aacaaab",0.0,0.0,0.0,0.0,0.0869676152761377
"aacabcc",0.0,0.0841395791953704,0.0,0.0,0.0
"aacacab",0.0,0.0,0.0997102360059741,0.0,0.0
"aacacbb",0.0,0.0,0.0,0.08687557418043507,0.0
"aacacca",0.0,0.0,0.0,0.08687557418043507,0.0
"aacbabc",0.0,0.0,0.0997102360059741,0.0,0.0
"aacbcab",0.0,0.0841395791953704,0.0,0.0,0.0
"aacbcbb",0.0,0.026705381235166435,0.0,0.027573769095343367,0.027602982368972098
"aaccaaa",0.0,0.0,0.0,0.0,0.0869676152761377
"aaccaca",0.0,0.0,0.0,0.08687557418043507,0.0
"aaccbab",0.0,0.0,0.0997102360059741,0.0,0.0
"aaccbba",0.0,0.0841395791953704,0.0,0.0,0.0
"aaccbca",0.0,0.0,0.0,0.08687557418043507,0.0
"aaccbcb",0.13430464161924055,0.0,0.0,0.0,0.0
"aacccaa",0.0,0.0,0.0,0.08687557418043507,0.0
"aacccab",0.0,0.0,0.0997102360059741,0.0,0.0
"aacccba",0.0,0.0,0.0,0.08687557418043507,0.0
"abaabcb",0.0,0.0,0.0,0.08687557418043507,0.0
"abaacbb",0.0,0.0,0.05676737475823546,0.04946030091175555,0.0
"abaaccb",0.0,0.0841395791953704,0.0,0.0,0.0
"abaaccc",0.0,0.0,0.0,0.0,0.0869676152761377
"ababcba",0.0,0.0,0.05676737475823546,0.0,0.04951270206515967
"abacabc",0.0,0.0841395791953704,0.0,0.0,0.0
"abaccca",0.0,0.0841395791953704,0.0,0.0,0.0
"abacccb",0.0,0.0841395791953704,0.0,0.0,0.0
"abbaacc",0.0,0.0,0.0,0.08687557418043507,0.0
"abbabcc",0.0,0.0,0.0,0.08687557418043507,0.0
"abbacca",0.0,0.0,0.0,0.08687557418043507,0.0
"abbbacc",0.0,0.0,0.0,0.08687557418043507,0.0
"abbbcaa",0.0,0.0,0.05676737475823546,0.0,0.04951270206515967
"abbcaac",0.0,0.0841395791953704,0.0,0.0,0.0
