"","BalusC","Marc Gravell","Greg Hewgill","Jon Skeet","Darin Dimitrov"
"aaaaabcb",0.0,0.0,0.0,0.0,0.04929716179778092
"aaaaacbb",0.0,0.0,0.0,0.0,0.04929716179778092
"aaaaacbc",0.0,0.0,0.0,0.0,0.02464858089889046
"aaaaaccb",0.0,0.0,0.0,0.0,0.04929716179778092
"aaaabacb",0.0,0.03516915025121093,0.0,0.0,0.0
"aaaabbbc",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aaaabbcc",0.0,0.011162470434926004,0.0,0.009826162447119856,0.007823306892018897
"aaaabcac",0.0,0.0,0.0,0.0,0.02464858089889046
"aaaabcbb",0.0,0.0,0.07333004116913089,0.0,0.0
"aaaabcbc",0.0,0.0,0.02087425571751469,0.0,0.014033014915962736
"aaaabcca",0.0,0.0,0.02087425571751469,0.0,0.014033014915962736
"aaaabccb",0.0,0.011162470434926004,0.0,0.009826162447119856,0.023469920676056688
"aaaabccc",0.0,0.0,0.0,0.0,0.07394574269667138
"aaaacabc",0.0,0.020022621670653398,0.02087425571751469,0.0,0.0
"aaaacbab",0.0,0.0,0.036665020584565444,0.0,0.0
"aaaacbbb",0.0,0.0,0.036665020584565444,0.0,0.0
"aaaacbbc",0.0,0.0,0.036665020584565444,0.0,0.0
"aaaacbcb",0.0,0.0,0.0,0.0,0.02464858089889046
"aaaacbcc",0.0,0.0,0.01163725041258491,0.009826162447119856,0.015646613784037793
"aaaaccab",0.0,0.011162470434926004,0.01163725041258491,0.0,0.007823306892018897
"aaaaccba",0.0,0.0,0.02087425571751469,0.0,0.014033014915962736
"aaaaccbb",0.0,0.0,0.04174851143502938,0.0,0.028066029831925472
"aaaaccbc",0.0,0.0,0.036665020584565444,0.0,0.0
"aaaaccca",0.0,0.0,0.02087425571751469,0.0,0.056132059663850944
"aaaacccb",0.0,0.0,0.01163725041258491,0.019652324894239712,0.007823306892018897
"aaaacccc",0.027237745831209297,0.0,0.0,0.01762562636112074,0.0
"aaabaacc",0.0,0.0,0.04174851143502938,0.03525125272224148,0.0
"aaababcb",0.0,0.020022621670653398,0.02087425571751469,0.0,0.0
"aaababcc",0.030369702585004297,0.0,0.0,0.009826162447119856,0.015646613784037793
"aaabacac",0.0,0.0,0.0,0.0,0.02464858089889046
"aaabacbc",0.0,0.0,0.0,0.0,0.02464858089889046
"aaabacca",0.0,0.0,0.0,0.030958897988593467,0.0
"aaabaccb",0.0,0.020022621670653398,0.0,0.0,0.014033014915962736
"aaabaccc",0.01326637304764228,0.0,0.005083490850463942,0.0042923547336480156,0.006834897866070024
"aaabbabc",0.0,0.0,0.04174851143502938,0.0,0.028066029831925472
"aaabbaca",0.0,0.0,0.036665020584565444,0.0,0.0
"aaabbacb",0.0,0.0,0.0,0.0,0.02464858089889046
"aaabbacc",0.0,0.0,0.08349702287005877,0.0,0.12629713424366462
"aaabbbac",0.0,0.0,0.0,0.0,0.02464858089889046
"aaabbbbc",0.0,0.011162470434926004,0.03491175123775473,0.0,0.039116534460094485
"aaabbbca",0.0,0.0,0.0,0.0,0.14789148539334276
"aaabbbcb",0.0,0.00975218618019174,0.015250472551391824,0.0042923547336480156,0.03759193826338513
"aaabbbcc",0.0,0.01462827927028761,0.020333963401855767,0.017169418934592062,0.020504693598210076
"aaabbcaa",0.0,0.0,0.036665020584565444,0.0,0.0
"aaabbcab",0.0,0.0,0.0,0.0,0.04929716179778092
"aaabbcac",0.0,0.0,0.04174851143502938,0.0,0.014033014915962736
"aaabbcba",0.0,0.0,0.0,0.0,0.04929716179778092
"aaabbcbb",0.0,0.0,0.01163725041258491,0.009826162447119856,0.023469920676056688
